Club now,Name,Pos,DOB,Minutes,Games,Youth Club,Competition
Persijap,Fairuz Ohorella,DF,2002-03-17,26,1,Persita Tangerang,Pegadaian Liga 2
Adhyaksa,Satrio Mega,WG,2006-05-07,18,3,Persita Tangerang,Pegadaian Liga 2
Persik Kediri,Eko Saputro,GK,1999-03-27,0,0,Persik Kediri,BRI Liga 1
Persik Kediri,Rafly Gabriel Kapoh,GK,2001-12-31,0,0,Persik Kediri,BRI Liga 1
Persik Kediri,Mierza Firjatullah,FW,2009-02-15,1,1,Persik Kediri,BRI Liga 1
Borneo FC,Dika Kuswardani,DF,2003-03-05,245,7,Persik Kediri,BRI Liga 1
PSS Sleman,Joseph Kurniawan,DF,2005-07-09,0,0,Persik Kediri,BRI Liga 1
Persiraja,Ferry Cahyo,FW,2000-02-17,187,8,Persik Kediri,Pegadaian Liga 2
Bekasi FC,Mirza Zakaria,MF,2004-09-17,848,12,Persik Kediri,Pegadaian Liga 2
Adhyaksa,Ahmad Raia Irvanza,FW,2005-03-18,15,1,Persik Kediri,Pegadaian Liga 2
Deltras,Wigi Pratama,WG,2004-07-29,657,9,Persik Kediri,Pegadaian Liga 2
Semen Padang,Ikram Al Giffari,GK,2006-01-06,0,0,Semen Padang,BRI Liga 1
Semen Padang,M Mursalin Wijaya,GK,2005-07-17,0,0,Semen Padang,BRI Liga 1
Semen Padang,Gilang Esa,DF,2006-11-05,2,1,Semen Padang,BRI Liga 1
Semen Padang,Dwi Geno,MF,2001-01-19,655,13,Semen Padang,BRI Liga 1
Semen Padang,Drey Panyalay,WG,2000-02-23,0,0,Semen Padang,BRI Liga 1
Semen Padang,Zulkifli Yahya,WG,2005-01-01,45,1,Semen Padang,BRI Liga 1
Semen Padang,Gala Pagamo,WG,2006-08-11,1280,21,Semen Padang,BRI Liga 1
Semen Padang,Dewa Sapalas,WG,2006-05-01,84,7,Semen Padang,BRI Liga 1
Malut United,Fahri,GK,2000-08-18,1170,13,Semen Padang,BRI Liga 1
Arema,Rifad Marasabessy,DF,1999-07-07,576,12,Semen Padang,BRI Liga 1
Sriwijaya,Reyhan Firdaus,WG,2004-06-15,1024,19,Semen Padang,Pegadaian Liga 2
Persikabo,M Fadhil Aksah,DF,2002-10-02,470,7,Semen Padang,Pegadaian Liga 2
Persikabo,Dhaffa Putra,DF,2001-04-29,765,12,Semen Padang,Pegadaian Liga 2
Persiku,Genta Alparedo,MF,2001-10-07,615,10,Semen Padang,Pegadaian Liga 2
Persis Solo,I Gede Aditya Juliantara,GK,2004-07-04,0,0,Persis Solo,BRI Liga 1
Persis Solo,Zanadin Fariz,MF,2004-05-31,1302,23,Persis Solo,BRI Liga 1
Persis Solo,Romadona,WG,2003-03-05,0,0,Persis Solo,BRI Liga 1
Persis Solo,I G Made Rendy Sanjaya,WG,2004-04-11,156,6,Persis Solo,BRI Liga 1
Persis Solo,Althaf Indie,WG,2003-01-06,2249,32,Persis Solo,BRI Liga 1
Persis Solo,Arkhan Kaka,FW,2007-09-02,500,17,Persis Solo,BRI Liga 1
Malut United,Firman Ramadhan,DF,2003-11-07,840,16,Persis Solo,BRI Liga 1
Dewa United,Alfriyanto Nico,DF,2003-04-03,1666,24,Persis Solo,BRI Liga 1
Borneo FC,Dika Kuswardani,DF,2003-03-05,245,7,Persis Solo,BRI Liga 1
PSBS Biak,Arjuna Agung,DF,2003-06-24,312,8,Persis Solo,BRI Liga 1
Arema,Brandon Scheunemann,DF,2005-03-09,5,3,Persis Solo,BRI Liga 1
Persik Kediri,Rifqi Ray,MF,2004-06-22,794,19,Persis Solo,BRI Liga 1
Persik Kediri,Hugo Samir,WG,2005-01-25,651,20,Persis Solo,BRI Liga 1
Barito Putera,Buyung Ismu,DF,1999-05-08,743,17,Persis Solo,BRI Liga 1
PSIS Semarang,Faqih Maulana,DF,2004-09-11,797,21,Persis Solo,BRI Liga 1
PSPS,Aulia Lubis,MF,2003-11-27,1259,21,Persis Solo,Pegadaian Liga 2
PSPS,Athallah Araihan,FW,2004-06-04,197,7,Persis Solo,Pegadaian Liga 2
Persikota,Marcell Januar,DF,2004-01-20,170,3,Persis Solo,Pegadaian Liga 2
Sriwijaya,Nadhif Kosasih,FW,2003-03-09,72,2,Persis Solo,Pegadaian Liga 2
Nusantara,Dicky Daniel,WG,2004-12-10,138,4,Persis Solo,Pegadaian Liga 2
Gresik United,Ade Kristiano,DF,2003-10-11,180,2,Persis Solo,Pegadaian Liga 2
Gresik United,Didan Paulista,WG,2004-06-09,75,5,Persis Solo,Pegadaian Liga 2
Gresik United,Wahyu Agung,FW,2004-04-29,634,13,Persis Solo,Pegadaian Liga 2
Madura United,Fawaid Ansory,GK,1999-09-13,0,0,Madura United,BRI Liga 1
Madura United,Feby Ramzy,MF,2002-02-04,287,11,Madura United,BRI Liga 1
Madura United,Febrian Triyanto,WG,2004-02-11,99,3,Madura United,BRI Liga 1
Semen Padang,Drey Panyalay,WG,2000-02-23,429,9,Madura United,BRI Liga 1
Persiraja,Daffa Zhafran,DF,2007-01-23,0,0,Madura United,Pegadaian Liga 2
Persipal,Marvel Lesa,MF,2004-03-06,66,1,Madura United,Pegadaian Liga 2
PSS Sleman,Safaat Arif,GK,2002-11-18,0,0,PSS Sleman,BRI Liga 1
PSS Sleman,Fidelis Davin,GK,2004-04-24,0,0,PSS Sleman,BRI Liga 1
PSS Sleman,Ifan Nanda,DF,2001-03-29,523,13,PSS Sleman,BRI Liga 1
PSS Sleman,Fadhilah Tegar,DF,2005-03-11,0,0,PSS Sleman,BRI Liga 1
PSS Sleman,Joseph Kurniawan,DF,2005-07-09,0,0,PSS Sleman,BRI Liga 1
PSS Sleman,Fadel Ahmad,DF,2006-06-24,0,0,PSS Sleman,BRI Liga 1
PSS Sleman,Relosa Rivan,MF,2005-12-05,65,4,PSS Sleman,BRI Liga 1
PSS Sleman,Ferrel Arda,MF,2005-02-28,0,0,PSS Sleman,BRI Liga 1
PSS Sleman,Achmad Zidan,MF,2006-10-22,41,5,PSS Sleman,BRI Liga 1
PSS Sleman,Dominikus Dion,MF,2004-10-14,2110,30,PSS Sleman,BRI Liga 1
PSS Sleman,Claudio Mutzi,WG,2003-05-28,7,2,PSS Sleman,BRI Liga 1
PSS Sleman,M Raustananta,WG,2005-12-01,0,0,PSS Sleman,BRI Liga 1
PSS Sleman,Angga Perfecta,FW,2006-06-07,0,0,PSS Sleman,BRI Liga 1
PSS Sleman,Hokky Caraka,FW,2004-08-21,1111,27,PSS Sleman,BRI Liga 1
Borneo FC,Dika Kuswardani,DF,2003-03-05,245,7,PSS Sleman,BRI Liga 1
Persis Solo,Romadona,WG,2003-03-05,0,0,PSS Sleman,BRI Liga 1
Madura United,Nuri Agus,GK,2001-08-06,0,0,PSS Sleman,BRI Liga 1
PSIS Semarang,Syiha Buddin,DF,2001-04-05,590,11,PSS Sleman,BRI Liga 1
Bekasi FC,Restu Hamdani,DF,2005-01-14,874,14,PSS Sleman,Pegadaian Liga 2
Bekasi FC,Saddam Gaffar,FW,2001-09-24,536,10,PSS Sleman,Pegadaian Liga 2
Persikabo,Aruna Brama Siwi,DF,2001-11-28,611,12,PSS Sleman,Pegadaian Liga 2
Persikabo,Bagas Umar,WG,2001-02-03,56,1,PSS Sleman,Pegadaian Liga 2
PSIM,Khairul Fikri,GK,2003-02-24,0,0,PSS Sleman,Pegadaian Liga 2
PSIM,M Fariz,DF,2004-09-02,865,12,PSS Sleman,Pegadaian Liga 2
PSIM,Savio Sheva,MF,2001-04-23,1031,20,PSS Sleman,Pegadaian Liga 2
PSIM,Fajar Akhmad,FW,2005-05-20,11,2,PSS Sleman,Pegadaian Liga 2
Nusantara,Rizqi Abhirama,GK,2001-07-02,900,10,PSS Sleman,Pegadaian Liga 2
Persekat,Dimas Fani,GK,2000-05-18,644,10,PSS Sleman,Pegadaian Liga 2
Persipa,Bhirawa Anoraga,DF,2004-09-25,706,15,PSS Sleman,Pegadaian Liga 2
Persibo,Raka Okta,GK,2004-10-01,651,8,PSS Sleman,Pegadaian Liga 2
Persibo,M Febriansyah,DF,2000-02-28,45,1,PSS Sleman,Pegadaian Liga 2
Barito Putera,Danda Rama,GK,2007-02-23,0,0,Barito Putera,BRI Liga 1
Barito Putera,Gale Trisna,GK,2004-05-24,0,0,Barito Putera,BRI Liga 1
Barito Putera,M Firly,DF,1999-07-16,1067,20,Barito Putera,BRI Liga 1
Barito Putera,Yuswanto Aditya,DF,2000-05-10,927,13,Barito Putera,BRI Liga 1
Barito Putera,M Iqbal Gwijangge,DF,2006-08-29,850,12,Barito Putera,BRI Liga 1
Barito Putera,Alex Kamuru,DF,2005-08-19,0,0,Barito Putera,BRI Liga 1
Barito Putera,Bagas Kaffa,DF,2002-01-16,1275,23,Barito Putera,BRI Liga 1
Barito Putera,Ferdiansyah,MF,2000-04-24,271,6,Barito Putera,BRI Liga 1
Barito Putera,Aditiya Daffa,DF,2004-01-11,1092,17,Barito Putera,BRI Liga 1
Barito Putera,M Reza Zuhro,MF,2004-01-02,0,0,Barito Putera,BRI Liga 1
Barito Putera,Bagus Kahfi,WG,2002-01-16,573,16,Barito Putera,BRI Liga 1
Barito Putera,Abdul Aziz,WG,2000-09-17,0,0,Barito Putera,BRI Liga 1
Barito Putera,M Aimar Iskandar,WG,2003-12-04,192,8,Barito Putera,BRI Liga 1
Barito Putera,Rahmat Beri Santoso,WG,2004-02-02,277,7,Barito Putera,BRI Liga 1
Barito Putera,Lassana Doucoure,FW,2003-07-30,0,0,Barito Putera,BRI Liga 1
Borneo FC,Yogi Hermawan,GK,2003-01-16,0,0,Barito Putera,BRI Liga 1
PSM Makassar,Adil Nur,MF,2004-05-10,0,0,Barito Putera,BRI Liga 1
Arema,Arkhan Fikri,MF,2004-12-28,2500,29,Barito Putera,BRI Liga 1
Persik Kediri,Hugo Samir,WG,2005-01-25,651,20,Barito Putera,BRI Liga 1
PSIS Semarang,Sandy Ferizal,DF,1999-05-17,666,16,Barito Putera,BRI Liga 1
PSMS,Habbi Ilyasa,GK,2004-07-01,26,1,Barito Putera,Pegadaian Liga 2
Persikota,Yudha Febrian,DF,2002-02-13,1464,18,Barito Putera,Pegadaian Liga 2
Dejan FC,Rakha Shabir,DF,2003-05-13,783,9,Barito Putera,Pegadaian Liga 2
Persikabo,Delan Selang,WG,2000-08-10,183,3,Barito Putera,Pegadaian Liga 2
Bhayangkara,David Maulana,MF,2002-02-25,54,2,Barito Putera,Pegadaian Liga 2
Nusantara,M Adam,MF,2004-11-07,1066,13,Barito Putera,Pegadaian Liga 2
Nusantara,Adika Ardhiswara,WG,2006-12-12,0,0,Barito Putera,Pegadaian Liga 2
Persekat,M Rafly Ariyanto,FW,2001-05-17,1490,22,Barito Putera,Pegadaian Liga 2
Deltras,Januarius Meka,GK,2000-01-03,630,7,Barito Putera,Pegadaian Liga 2
Gresik United,Alif Jaelani,MF,2002-07-05,1284,16,Barito Putera,Pegadaian Liga 2
Gresik United,Kahar Muzakkar,FW,1999-05-05,1061,20,Barito Putera,Pegadaian Liga 2
PSIS Semarang,Syiha Buddin,DF,2001-04-05,590,11,PSIS Semarang,BRI Liga 1
PSIS Semarang,Rahmat Syawal,DF,2005-11-05,838,14,PSIS Semarang,BRI Liga 1
PSIS Semarang,Tri Setiawan,MF,2004-05-20,1688,29,PSIS Semarang,BRI Liga 1
PSIS Semarang,Ridho Syuhada,MF,2004-06-18,1228,32,PSIS Semarang,BRI Liga 1
PSIS Semarang,Azyah Nur Faizin,MF,2005-11-25,4,2,PSIS Semarang,BRI Liga 1
PSIS Semarang,Fariq Aqmal,MF,2004-05-01,0,0,PSIS Semarang,BRI Liga 1
PSIS Semarang,Zico Uldha,MF,2002-02-18,7,1,PSIS Semarang,BRI Liga 1
PSIS Semarang,M Aulia Rahman,FW,2006-08-20,176,8,PSIS Semarang,BRI Liga 1
PSIS Semarang,Debby Liana,FW,2005-12-21,0,0,PSIS Semarang,BRI Liga 1
PSIS Semarang,Reiva Apriliansyah,FW,2006-04-10,714,13,PSIS Semarang,BRI Liga 1
Dewa United,Yofandani Pranata,GK,2001-04-09,0,0,PSIS Semarang,BRI Liga 1
Arema,Brandon Scheunemann,DF,2005-03-09,5,3,PSIS Semarang,BRI Liga 1
Semen Padang,Jorry Guruh,FW,2001-03-18,0,0,PSIS Semarang,BRI Liga 1
Madura United,Kartika Vedhayanto,DF,2002-01-25,344,6,PSIS Semarang,BRI Liga 1
Bekasi FC,Husein Akbar,GK,2005-02-18,90,0,PSIS Semarang,Pegadaian Liga 2
Bekasi FC,Jody Kurniadi,DF,2000-08-14,1343,18,PSIS Semarang,Pegadaian Liga 2
Bekasi FC,Riski Fajar,WG,2000-01-27,340,8,PSIS Semarang,Pegadaian Liga 2
Persikota,Aqsha Saniskara,DF,2000-09-26,1243,16,PSIS Semarang,Pegadaian Liga 2
Persijap,Seva Setiadi,NP,2007-02-17,0,0,PSIS Semarang,Pegadaian Liga 2
Adhyaksa,Ahmad Raia Irvanza,FW,2005-03-18,15,1,PSIS Semarang,Pegadaian Liga 2
Persipa,Basajum Latuconsina,FW,2005-05-17,798,16,PSIS Semarang,Pegadaian Liga 2
Persela,Yoga Aditama,DF,1999-12-22,1397,17,PSIS Semarang,Pegadaian Liga 2
Persibo,M Febriansyah,DF,2000-02-28,45,1,PSIS Semarang,Pegadaian Liga 2
